lon,price,year_available,rooms,elevator,lat,floors,area,census_tract_INE,barri_oficial,metres_cadastre,emissions_de_co2,qual_energia,has_education_within_500m,has_food_within_500m,has_health_within_500m,has_mobility_within_500m,has_public_service_within_500m,renda_med,renda_mediana,gini,p80_p20,pct_65_plus,pct_under18,pct_single_household,sector_oficial
2.81983617547207,605,2015,2.0,False,41.98336324455839,2.0,71,1707903001,Centre,105.0,41.42,E,1,1,1,1,1,24048.0,20650.0,37.0,3.2,20.8,12.7,44.4,Mercadal
2.832092770762707,1670,2015,4.0,True,41.9950437629678,1.0,302,1707905001,Montjuïc,147.5,45.915,E,0,1,1,1,0,31297.0,26250.0,30.9,2.6,15.7,19.4,12.4,Montjuïc
2.8247704346311013,615,2015,1.0,False,41.97722182734759,1.0,50,1707901003,Centre,64.0,48.77,G,1,1,1,1,1,20901.0,17850.0,36.9,3.5,16.8,16.4,36.3,Carme
2.8184651469344884,2445,2015,3.0,True,41.979744683578325,3.0,129,1707902003,Eixample,83.85,42.82,G,1,1,1,1,1,26786.0,21350.0,35.6,3.2,24.5,17.4,32.4,Eixample Nord
2.824468074058496,1145,2015,4.0,True,41.96911696432646,1.0,93,1707902018,Sud,89.6,41.2,E,1,1,1,1,1,23488.0,21350.0,27.5,2.5,14.8,22.9,26.2,Montilivi
2.8251232012728185,750,2015,1.0,False,41.98565841664622,3.0,83,1707904001,Centre,38.0,43.91,F,1,1,1,1,1,19189.0,15750.0,40.6,3.9,11.5,13.9,47.7,Barri Vell
2.826156948278502,520,2015,2.0,False,41.98407153258994,3.0,55,1707901001,Centre,150.0,41.72,E,1,1,1,1,1,19430.0,15400.0,39.6,3.3,13.2,17.2,44.6,Barri Vell
2.820998276558405,850,2015,3.0,True,41.97673634731508,3.0,70,1707902006,Eixample,79.0,43.2,E,1,1,1,1,1,23171.0,19950.0,35.3,3.4,22.4,18.8,33.0,Eixample Nord
2.8241110024677205,1835,2015,3.0,True,41.97593844759189,5.0,116,1707901003,Centre,64.0,48.77,G,1,1,1,1,1,20901.0,17850.0,36.9,3.5,16.8,16.4,36.3,Carme
2.809298841578525,1000,2015,3.0,True,41.96994620506425,2.0,100,1707903012,Eixample,53.73,33.96,E,1,1,1,1,0,12766.0,11550.0,36.8,3.8,11.9,22.8,18.0,Eixample Sud
2.817549693481623,1090,2015,3.0,True,41.98528479657259,3.0,107,1707903004,Eixample,79.0,43.2,E,1,1,1,1,1,26842.0,24850.0,26.3,2.2,15.3,20.6,29.7,Eixample Nord
2.82439977285301,590,2015,1.0,False,41.97694096374475,1.0,60,1707901003,Centre,64.0,48.77,G,1,1,1,1,1,20901.0,17850.0,36.9,3.5,16.8,16.4,36.3,Carme
2.82534826069662,1305,2015,2.0,False,41.98266137412804,3.0,57,1707901001,Centre,150.0,41.72,E,1,1,1,1,1,19430.0,15400.0,39.6,3.3,13.2,17.2,44.6,Barri Vell
2.8252365414667966,1080,2015,2.0,True,41.98456912910699,1.0,57,1707904001,Centre,38.0,43.91,F,1,1,1,1,1,19189.0,15750.0,40.6,3.9,11.5,13.9,47.7,Barri Vell
2.825157018159306,985,2015,3.0,True,41.98398224324027,1.0,92,1707901001,Centre,150.0,41.72,E,1,1,1,1,1,19430.0,15400.0,39.6,3.3,13.2,17.2,44.6,Barri Vell
2.8247564514933403,605,2015,1.0,False,41.9867712959301,1.0,58,1707904001,Centre,38.0,43.91,F,1,1,1,1,1,19189.0,15750.0,40.6,3.9,11.5,13.9,47.7,Barri Vell
2.824435616618864,1145,2015,3.0,True,41.98394950583577,1.0,91,1707901001,Centre,150.0,41.72,E,1,1,1,1,1,19430.0,15400.0,39.6,3.3,13.2,17.2,44.6,Barri Vell
2.820756467189909,405,2015,1.0,True,41.98352230607561,0.0,58,1707903001,Centre,105.0,41.42,E,1,1,1,1,1,24048.0,20650.0,37.0,3.2,20.8,12.7,44.4,Mercadal
2.8248621165758507,1290,2015,1.0,False,41.98411359802114,1.0,71,1707904001,Centre,38.0,43.91,F,1,1,1,1,1,19189.0,15750.0,40.6,3.9,11.5,13.9,47.7,Barri Vell
2.820138081888684,1080,2015,3.0,False,41.97681585571261,0.0,91,1707902013,Eixample,79.0,43.2,E,1,1,1,1,1,20731.0,18550.0,37.5,4.0,23.4,17.4,33.1,Eixample Nord
2.819557780532852,520,2015,1.0,True,41.98296863799753,1.0,68,1707903003,Eixample,79.0,43.2,E,1,1,1,1,1,21953.0,18550.0,36.2,3.4,14.9,17.5,37.4,Eixample Nord
2.825926848240478,925,2015,2.0,True,41.99089534554538,1.0,40,1707905002,Nord,59.0,55.22,F,1,1,1,1,1,14321.0,13650.0,33.0,3.1,20.3,16.5,37.3,Pedret
2.8214366327682137,930,2015,3.0,True,41.97661865874094,4.0,67,1707902006,Eixample,79.0,43.2,E,1,1,1,1,1,23171.0,19950.0,35.3,3.4,22.4,18.8,33.0,Eixample Nord
2.824954042524005,1105,2015,3.0,True,41.98389039741452,1.0,80,1707901001,Centre,150.0,41.72,E,1,1,1,1,1,19430.0,15400.0,39.6,3.3,13.2,17.2,44.6,Barri Vell
2.8087207513350925,1010,2015,2.0,False,41.99430759769483,1.0,62,1707906002,Oest,70.0,57.84,E,1,0,1,1,1,17013.0,16450.0,28.7,2.3,14.0,24.6,19.2,Taialà
